
Dump of file C:\Windows\System32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    E1C9E1A1 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1005 number of names

    ordinal hint RVA      name

       1747   F0 0002A4A0 EndDeferWindowPos
       1748   F1 00033DA0 EndDeferWindowPosEx
       1749   F2 00031B00 EndDialog
       1750   F3 00033DB0 EndMenu
       1751   F4 00033DC0 EndPaint
       1752   F5 00056DD0 EndTask
       1753   F6 0007DA70 EnterReaderModeHelper
       1754   F7 0000ED30 EnumChildWindows
       1755   F8 00031F60 EnumClipboardFormats
       1756   F9 000217E0 EnumDesktopWindows
       1757   FA 00003430 EnumDesktopsA
       1758   FB 00004FD0 EnumDesktopsW
       1759   FC 00008C30 EnumDisplayDevicesA
       1760   FD 000271F0 EnumDisplayDevicesW
       1761   FE 00033DD0 EnumDisplayMonitors
       1762   FF 00008A00 EnumDisplaySettingsA
       1763  100 00008A20 EnumDisplaySettingsExA
       1764  101 000088C0 EnumDisplaySettingsExW
       1765  102 000088A0 EnumDisplaySettingsW
       1766  103 0004E6E0 EnumPropsA
       1767  104 0004E700 EnumPropsExA
       1768  105 00026C70 EnumPropsExW
       1769  106 0004E720 EnumPropsW
       1770  107 00021810 EnumThreadWindows
       1771  108 00003410 EnumWindowStationsA
       1772  109 00004FB0 EnumWindowStationsW
       1773  10A 00021840 EnumWindows
       1774  10B 000238F0 EqualRect
       1775  10C 00080800 EvaluateProximityToPolygon
       1776  10D 00080D30 EvaluateProximityToRect
       1777  10E 00033DE0 ExcludeUpdateRgn
       1778  10F 0002BEB0 ExitWindowsEx
       1779  110 00023270 FillRect
       1780  111 0007CB80 FindWindowA
       1781  112 00003050 FindWindowExA
       1782  113 00025E80 FindWindowExW
       1783  114 00023580 FindWindowW
       1784  115 00088000 FlashWindow
       1785  116 00033DF0 FlashWindowEx
       1786  117 00030270 FrameRect
       1787  118 000593A0 FreeDDElParam
       1788  119 00033E10 FrostCrashedWindow
       1789  11A 0002B230 GetActiveWindow
       1790  11B 00084810 GetAltTabInfo
       1791  11C 00084810 GetAltTabInfoA
       1792  11D 0008AAF0 GetAltTabInfoW
       1793  11E 00033E30 GetAncestor
       1794  11F 0002B020 GetAppCompatFlags
       1795  120 00011B00 GetAppCompatFlags2
       1796  121 00023E60 GetAsyncKeyState
       1797  122 00033E40 GetAutoRotationState
       1798  123 00027DE0 GetAwarenessFromDpiAwarenessContext
       1799  124 00033E50 GetCIMSSM
       1800  125 00027CA0 GetCapture
       1801  126 00033E60 GetCaretBlinkTime
       1802  127 00033E70 GetCaretPos
       1803  128 00002AA0 GetClassInfoA
       1804  129 00002B40 GetClassInfoExA
       1805  12A 000070C0 GetClassInfoExW
       1806  12B 00007070 GetClassInfoW
       1807  12C 0008B430 GetClassLongA
       1808  12D 0008B490 GetClassLongPtrA
       1809  12E 00027EA0 GetClassLongPtrW
       1810  12F 00011BA0 GetClassLongW
       1811  130 0008AB20 GetClassNameA
       1812  131 00021C80 GetClassNameW
       1813  132 000285D0 GetClassWord
       1814  133 00012D30 GetClientRect
       1815  134 00033E80 GetClipCursor
       1816  135 00033E90 GetClipboardAccessToken
       1817  136 0002B2D0 GetClipboardData
       1818  137 00084840 GetClipboardFormatNameA
       1819  138 0002C800 GetClipboardFormatNameW
       1820  139 0002CC30 GetClipboardOwner
       1821  13A 0002C680 GetClipboardSequenceNumber
       1822  13B 00085BA0 GetClipboardViewer
       1823  13C 00033EA0 GetComboBoxInfo
       1824  13D 00033EB0 GetCurrentInputMessageSource
       1825  13E 00033EC0 GetCursor
       1826  13F 0002C4D0 GetCursorFrameInfo
       1827  140 00033ED0 GetCursorInfo
       1828  141 00027CD0 GetCursorPos
       1829  142 00026130 GetDC
       1830  143 00033EE0 GetDCEx
       1831  144 00033EF0 GetDesktopID
       1832  145 0000AEB0 GetDesktopWindow
       1833  146 00032270 GetDialogBaseUnits
       1834  147 00059ED0 GetDialogControlDpiChangeBehavior
       1835  148 00059F00 GetDialogDpiChangeBehavior
       1836  149 00033F00 GetDisplayAutoRotationPreferences
       1837  14A 00028D90 GetDisplayConfigBufferSizes
       1838  14B 00020BF0 GetDlgCtrlID
       1839  14C 00010170 GetDlgItem
       1840  14D 00059F50 GetDlgItemInt
       1841  14E 0008B4F0 GetDlgItemTextA
       1842  14F 000321A0 GetDlgItemTextW
       1843  150 00033F20 GetDoubleClickTime
       1844  151 00088070 GetDpiAwarenessContextForProcess
       1845  152 000278B0 GetDpiForMonitorInternal
       1846  153 00011650 GetDpiForSystem
       1847  154 00013F40 GetDpiForWindow
       1848  155 00088090 GetDpiFromDpiAwarenessContext
       1849  156 00033F30 GetExtendedPointerDeviceProperty
       1850  157 000239D0 GetFocus
       1851  158 00033F40 GetForegroundWindow
       1852  159 00033F50 GetGUIThreadInfo
       1853  15A 00033F60 GetGestureConfig
       1854  15B 0004F190 GetGestureExtraArgs
       1855  15C 0004F1C0 GetGestureInfo
       1856  15D 00033F70 GetGuiResources
       1857  15E 00026F00 GetIconInfo
       1858  15F 00051020 GetIconInfoExA
       1859  160 00029EB0 GetIconInfoExW
       1860  161 000880C0 GetInputDesktop
       1861  162 00033F90 GetInputLocaleInfo
       1862  163 000833D0 GetInputState
       1863  164 00033FD0 GetInternalWindowPos
       1864  165 000880E0 GetKBCodePage
       1865  166 000848F0 GetKeyNameTextA
       1866  167 0002C060 GetKeyNameTextW
       1867  168 0001E0C0 GetKeyState
       1868  169 00026FC0 GetKeyboardLayout
       1869  16A 00033FE0 GetKeyboardLayoutList
       1870  16B 000849B0 GetKeyboardLayoutNameA
       1871  16C 0002C080 GetKeyboardLayoutNameW
       1872  16D 00033FF0 GetKeyboardState
       1873  16E 00031DE0 GetKeyboardType
       1874  16F 00014CD0 GetLastActivePopup
       1875  170 000269B0 GetLastInputInfo
       1876  171 00034000 GetLayeredWindowAttributes
       1877  172 00034010 GetListBoxInfo
       1878  173 00075B00 GetMagnificationDesktopColorEffect
       1879  174 00075BF0 GetMagnificationDesktopMagnification
       1880  175 00075C90 GetMagnificationDesktopSamplingMode
       1881  176 00034020 GetMagnificationLensCtxInformation
       1882  177 0002A3C0 GetMenu
       1883  178 00034030 GetMenuBarInfo
       1884  179 00077EE0 GetMenuCheckMarkDimensions
       1885  17A 00077F20 GetMenuContextHelpId
       1886  17B 00029070 GetMenuDefaultItem
       1887  17C 000016D0 GetMenuInfo
       1888  17D 00026160 GetMenuItemCount
       1889  17E 0002A520 GetMenuItemID
       1890  17F 0008B540 GetMenuItemInfoA
       1891  180 0001FC90 GetMenuItemInfoW
       1892  181 00034040 GetMenuItemRect
       1893  182 0001F8D0 GetMenuState
       1894  183 0008B640 GetMenuStringA
       1895  184 00030D00 GetMenuStringW
       1896  185 00028680 GetMessageA
       1897  186 00029480 GetMessageExtraInfo
       1898  187 0002AF50 GetMessagePos
       1899  188 00029DC0 GetMessageTime
       1900  189 00021B10 GetMessageW
       1901  18A 0002DBE0 GetMonitorInfoA
       1902  18B 000207A0 GetMonitorInfoW
       1903  18C 00034050 GetMouseMovePointsEx
       1904  18D 0005A550 GetNextDlgGroupItem
       1905  18E 00001D90 GetNextDlgTabItem
       1906  18F 0002CBC0 GetOpenClipboardWindow
       1907  190 0001DD20 GetParent
       1908  191 00027CD0 GetPhysicalCursorPos
       1909  192 00034080 GetPointerCursorId
       1910  193 00034090 GetPointerDevice
       1911  194 000340A0 GetPointerDeviceCursors
       1912  195 000340B0 GetPointerDeviceInputSpace
       1913  196 000340C0 GetPointerDeviceOrientation
       1914  197 000340D0 GetPointerDeviceProperties
       1915  198 000340E0 GetPointerDeviceRects
       1916  199 000340F0 GetPointerDevices
       1503  19A 000500C0 GetPointerFrameArrivalTimes
       1917  19B 00050240 GetPointerFrameInfo
       1918  19C 00050290 GetPointerFrameInfoHistory
       1919  19D 000502D0 GetPointerFramePenInfo
       1920  19E 00050320 GetPointerFramePenInfoHistory
       1921  19F 00034100 GetPointerFrameTimes
       1922  1A0 00050360 GetPointerFrameTouchInfo
       1923  1A1 000503B0 GetPointerFrameTouchInfoHistory
       1924  1A2 000503F0 GetPointerInfo
       1925  1A3 00050450 GetPointerInfoHistory
       1926  1A4 00034110 GetPointerInputTransform
       1927  1A5 000504A0 GetPointerPenInfo
       1928  1A6 00050500 GetPointerPenInfoHistory
       1929  1A7 00050550 GetPointerTouchInfo
       1930  1A8 000505B0 GetPointerTouchInfoHistory
       1931  1A9 00034130 GetPointerType
       1932  1AA 00085BC0 GetPriorityClipboardFormat
       1933  1AB 0002CBA0 GetProcessDefaultLayout
       1934  1AC 0002B630 GetProcessDpiAwarenessInternal
       2521  1AD 00034150 GetProcessUIContextInformation
       1935  1AE 00034160 GetProcessWindowStation
       1936  1AF 00088100 GetProgmanWindow
       1937  1B0 0002D940 GetPropA
       1938  1B1 00009F10 GetPropW
       1939  1B2 00020FB0 GetQueueStatus
       1940  1B3 0006A0D0 GetRawInputBuffer
       1941  1B4 00034180 GetRawInputData
       1942  1B5 0008B690 GetRawInputDeviceInfoA
       1943  1B6 00032250 GetRawInputDeviceInfoW
       1944  1B7 00034190 GetRawInputDeviceList
       1945  1B8 000341A0 GetRawPointerDeviceData
       1946  1B9 00032580 GetReasonTitleFromReasonCode
       1947  1BA 000341B0 GetRegisteredRawInputDevices
       1948  1BB 000341D0 GetScrollBarInfo
       1949  1BC 000283C0 GetScrollInfo
       1950  1BD 00031250 GetScrollPos
       1951  1BE 00083410 GetScrollRange
       1952  1BF 00088160 GetSendMessageReceiver
       1953  1C0 0002BE70 GetShellChangeNotifyWindow
       1954  1C1 00028130 GetShellWindow
       1955  1C2 0002A090 GetSubMenu
       1956  1C3 00025E40 GetSysColor
       1957  1C4 00027FF0 GetSysColorBrush
       1958  1C5 000341E0 GetSystemDpiForProcess
       1959  1C6 000341F0 GetSystemMenu
       1960  1C7 00020E50 GetSystemMetrics
       1961  1C8 00010BC0 GetSystemMetricsForDpi
       1962  1C9 00057200 GetTabbedTextExtentA
       1963  1CA 00057300 GetTabbedTextExtentW
       1964  1CB 0002CBE0 GetTaskmanWindow
       1965  1CC 00034200 GetThreadDesktop
       1966  1CD 00023C90 GetThreadDpiAwarenessContext
       1967  1CE 00088180 GetThreadDpiHostingBehavior
       1968  1CF 00034210 GetTitleBarInfo
       1969  1D0 00034220 GetTopLevelWindow
       1970  1D1 0002D0E0 GetTopWindow
       1971  1D2 00051810 GetTouchInputInfo
       1972  1D3 000881D0 GetUnpredictedMessagePos
       1973  1D4 0002B270 GetUpdateRect
       1974  1D5 000881F0 GetUpdateRgn
       1975  1D6 00085BE0 GetUpdatedClipboardFormats
       1976  1D7 0002C3F0 GetUserObjectInformationA
       1977  1D8 00034250 GetUserObjectInformationW
       1978  1D9 00088290 GetUserObjectSecurity
       1979  1DA 000882F0 GetWinStationInfo
       1980  1DB 00009DA0 GetWindow
       1981  1DC 00034260 GetWindowBand
       1982  1DD 00034270 GetWindowCompositionAttribute
       1983  1DE 00034280 GetWindowCompositionInfo
       1984  1DF 00088310 GetWindowContextHelpId
       1985  1E0 00034290 GetWindowDC
       1986  1E1 000342A0 GetWindowDisplayAffinity
       1987  1E2 00013420 GetWindowDpiAwarenessContext
       1988  1E3 00088330 GetWindowDpiHostingBehavior
       1989  1E4 000342B0 GetWindowFeedbackSetting
       1990  1E5 000105C0 GetWindowInfo
       1991  1E6 00013FA0 GetWindowLongA
       1992  1E7 00010DE0 GetWindowLongPtrA
       1993  1E8 0000F830 GetWindowLongPtrW
       1994  1E9 0000FB70 GetWindowLongW
       1995  1EA 000342D0 GetWindowMinimizeRect
       1996  1EB 0008B7D0 GetWindowModuleFileName
       1997  1EC 0008B7D0 GetWindowModuleFileNameA
       1998  1ED 00089150 GetWindowModuleFileNameW
       1999  1EE 000342E0 GetWindowPlacement
       2000  1EF 000342F0 GetWindowProcessHandle
       2003  1F0 000146E0 GetWindowRect
       2004  1F1 0002A230 GetWindowRgn
       2006  1F2 000090C0 GetWindowRgnBox
       2007  1F3 00034300 GetWindowRgnEx
       2008  1F4 00009490 GetWindowTextA
       2009  1F5 0008B820 GetWindowTextLengthA
       2011  1F6 0000A200 GetWindowTextLengthW
       2012  1F7 0000C2F0 GetWindowTextW
       2013  1F8 00003500 GetWindowThreadProcessId
       2014  1F9 000834E0 GetWindowWord
       2015  1FA 00034310 GhostWindowFromHungWindow
       2016  1FB 000883A0 GrayStringA
       2017  1FC 00088400 GrayStringW
       2505  1FD 00034320 HandleDelegatedInput
       2018  1FE 00028E00 HideCaret
       2019  1FF 00034340 HiliteMenuItem
       2020  200 00034350 HungWindowFromGhostWindow
       2021  201 00085100 IMPGetIMEA
       2022  202 00085120 IMPGetIMEW
       2023  203 00085140 IMPQueryIMEA
       2024  204 00085160 IMPQueryIMEW
       2025  205 00085180 IMPSetIMEA
       2026  206 000851A0 IMPSetIMEW
       2027  207 00034360 ImpersonateDdeClientWindow
       2028  208 00028190 InSendMessage
       2029  209 00023B00 InSendMessageEx
       2030  20A 00004EE0 InflateRect
       2031  20B 00034370 InheritWindowMonitor
       2032  20C 000222B0 InitDManipHook
       2033  20D 00034380 InitializeGenericHidInjection
       2034  20E 00034390 InitializeInputDeviceInjection
       2035  20F 000272D0 InitializeLpkHooks
       2036  210 000343A0 InitializePointerDeviceInjection
       2037  211 000343B0 InitializePointerDeviceInjectionEx
       2038  212 000343C0 InitializeTouchInjection
       2039  213 000343D0 InjectDeviceInput
       2040  214 000343E0 InjectGenericHidInput
       2041  215 000343F0 InjectKeyboardInput
       2042  216 00034400 InjectMouseInput
       2043  217 00034410 InjectPointerInput
       2044  218 00034410 InjectSyntheticPointerInput
       2045  219 00034420 InjectTouchInput
       2046  21A 00034430 InputSpaceRegionFromPoint
       2047  21B 0008B870 InsertMenuA
       2048  21C 0008B8F0 InsertMenuItemA
       2049  21D 0001FAE0 InsertMenuItemW
       2050  21E 0001FA00 InsertMenuW
       2051  21F 0007C720 InternalGetWindowIcon
       2052  220 00027E50 InternalGetWindowText
       2053  221 00013B80 IntersectRect
       2054  222 00034450 InvalidateRect
       2055  223 00034460 InvalidateRgn
       2056  224 00026090 InvertRect
       2057  225 00085C00 IsCharAlphaA
       2058  226 00085C20 IsCharAlphaNumericA
       2059  227 00032490 IsCharAlphaNumericW
       2060  228 00085C40 IsCharAlphaW
       2061  229 00085C60 IsCharLowerA
       2062  22A 00085C80 IsCharLowerW
       2063  22B 00085CA0 IsCharUpperA
       2064  22C 00085CC0 IsCharUpperW
       2065  22D 00013FF0 IsChild
       2066  22E 00023560 IsClipboardFormatAvailable
       2067  22F 0005A1C0 IsDialogMessage
       2068  230 0005A1C0 IsDialogMessageA
       2069  231 0000BDD0 IsDialogMessageW
       2070  232 0005A0D0 IsDlgButtonChecked
       2071  233 00027F80 IsGUIThread
       2072  234 00029D90 IsHungAppWindow
       2073  235 0000C1F0 IsIconic
       2074  236 00029500 IsImmersiveProcess
       2075  237 0002B160 IsInDesktopWindowBand
       2076  238 00027800 IsMenu
       2077  239 00034480 IsMouseInPointerEnabled
       2078  23A 000344B0 IsOneCoreTransformMode
       2079  23B 00021A90 IsProcessDPIAware
       2080  23C 00088460 IsQueueAttached
       2081  23D 00023420 IsRectEmpty
       2082  23E 0007DCE0 IsSETEnabled
       2083  23F 00011B70 IsServerSideWindow
       2084  240 00010D30 IsThreadDesktopComposited
       2528  241 000260D0 IsThreadMessageQueueAttached
       2085  242 00001470 IsThreadTSFEventAware
       2086  243 000344D0 IsTopLevelWindow
       2087  244 000344E0 IsTouchWindow
       2088  245 00088480 IsValidDpiAwarenessContext
       2089  246 00004A50 IsWinEventHookInstalled
       2090  247 0000A100 IsWindow
       2091  248 0000C180 IsWindowArranged
       2092  249 00011AB0 IsWindowEnabled
       2093  24A 00023450 IsWindowInDestroy
       2094  24B 000133B0 IsWindowRedirectedForPrint
       2095  24C 000117E0 IsWindowUnicode
       2096  24D 0001E170 IsWindowVisible
       2097  24E 0004FF80 IsWow64Message
       2098  24F 00023920 IsZoomed
       2099  250 00034510 KillTimer
       2100  251 00051170 LoadAcceleratorsA
       2101  252 00027980 LoadAcceleratorsW
       2102  253 00031D00 LoadBitmapA
       2103  254 0002BB50 LoadBitmapW
       2104  255 00029D50 LoadCursorA
       2105  256 0004BD00 LoadCursorFromFileA
       2106  257 0004BD70 LoadCursorFromFileW
       2107  258 00014630 LoadCursorW
       2108  259 0002C9D0 LoadIconA
       2109  25A 00016EB0 LoadIconW
