
Dump of file C:\Windows\System32\imagehlp.dll

File Type: DLL

  Section contains the following exports for imagehlp.dll

    00000000 characteristics
    3D887AB8 time date stamp
        0.00 version
           1 ordinal base
         155 number of functions
         155 number of names

    ordinal hint RVA      name

         79   4C 00001910 SymFromAddr
         80   4D 00001930 SymFromInlineContext
         81   4E 00001950 SymFromInlineContextW
         82   4F 00001970 SymFromName
         83   50 00001990 SymFunctionTableAccess
         84   51 00001990 SymFunctionTableAccess64
         85   52 000019B0 SymFunctionTableAccess64AccessRoutines
          4   53 00001410 SymGetDiaSession
         86   54 000019D0 SymGetExtendedOption
         87   55 000019F0 SymGetLineFromAddr
         88   56 000019F0 SymGetLineFromAddr64
         89   57 00001A10 SymGetLineFromInlineContext
         90   58 00001A30 SymGetLineFromInlineContextW
         91   59 00001A50 SymGetLineFromName
         92   5A 00001A50 SymGetLineFromName64
         93   5B 00001A70 SymGetLineNext
         94   5C 00001A70 SymGetLineNext64
         95   5D 00001A90 SymGetLinePrev
         96   5E 00001A90 SymGetLinePrev64
         97   5F 00001AB0 SymGetModuleBase
         98   60 00001AB0 SymGetModuleBase64
         99   61 00001AD0 SymGetModuleInfo
        100   62 00001AD0 SymGetModuleInfo64
        101   63 00001AF0 SymGetModuleInfoW
        102   64 00001AF0 SymGetModuleInfoW64
        103   65 00001B10 SymGetOptions
        104   66 00001B30 SymGetSearchPath
        105   67 00001B50 SymGetSourceFileChecksumW
        106   68 00001B70 SymGetSourceFileFromTokenW
        107   69 00001B90 SymGetSourceFileTokenW
        108   6A 00001BB0 SymGetSourceVarFromTokenW
        109   6B 00001BD0 SymGetSymFromAddr
        110   6C 00001BD0 SymGetSymFromAddr64
        111   6D 00001BF0 SymGetSymFromName
        112   6E 00001BF0 SymGetSymFromName64
        113   6F 00001C10 SymGetSymNext
        114   70 00001C10 SymGetSymNext64
        115   71 00001C30 SymGetSymPrev
        116   72 00001C30 SymGetSymPrev64
        117   73 00001C50 SymGetSymbolFile
        118   74 00001C70 SymGetSymbolFileW
        119   75 00001C90 SymGetTypeFromName
        120   76 00001CB0 SymGetTypeFromNameW
        121   77 00001CD0 SymGetTypeInfo
        122   78 00001CF0 SymGetTypeInfoEx
        123   79 00001D10 SymInitialize
        124   7A 00001D30 SymLoadModule
        125   7B 00001D30 SymLoadModule64
        126   7C 00001D50 SymMatchFileName
        127   7D 00001D70 SymMatchFileNameW
        128   7E 00001D90 SymMatchString
        129   7F 00001DB0 SymMatchStringA
        130   80 00001DD0 SymMatchStringW
        131   81 00001DF0 SymQueryInlineTrace
        132   82 00001E10 SymRegisterCallback
        133   83 00001E10 SymRegisterCallback64
        134   84 00001E30 SymRegisterFunctionEntryCallback
        135   85 00001E30 SymRegisterFunctionEntryCallback64
        136   86 00001E50 SymSetContext
          5   87 00001430 SymSetDiaSession
        137   88 00001E70 SymSetExtendedOption
        138   89 00001E90 SymSetOptions
        139   8A 00001EB0 SymSetScopeFromAddr
        140   8B 00001ED0 SymSetScopeFromIndex
        141   8C 00001EF0 SymSetScopeFromInlineContext
        142   8D 00001F10 SymSetSearchPath
        143   8E 00001F30 SymSrvGetFileIndexString
        144   8F 00001F50 SymSrvGetFileIndexStringW
        145   90 00001F70 SymSrvGetFileIndexes
        146   91 00001F90 SymSrvGetFileIndexesW
        147   92 00001FB0 SymUnDName
        148   93 00001FB0 SymUnDName64
        149   94 00001FD0 SymUnloadModule
        150   95 00001FD0 SymUnloadModule64
        151   96 000062F0 TouchFileTimes
        152   97 00001FF0 UnDecorateSymbolName
        153   98 00007B10 UnMapAndLoad
        154   99 00009200 UpdateDebugInfoFile
        155   9A 00009220 UpdateDebugInfoFileEx

  Summary

        2000 .data
        1000 .didat
        3000 .mrdata
        1000 .pdata
        8000 .rdata
        1000 .reloc
        1000 .rsrc
        B000 .text
