
Dump of file C:\Windows\System32\d3d10level9.dll

File Type: DLL

  Section contains the following exports for d3d10level9.dll

    00000000 characteristics
    C32DEA22 time date stamp
        0.00 version
           1 ordinal base
         113 number of functions
         113 number of names

    ordinal hint RVA      name

         90   3B 0002AC60 D3DKMTOpenSyncObjectNtHandleFromName
         91   3C 0002AC80 D3DKMTOpenSynchronizationObject
         18   3D 00029630 D3DKMTOutputDuplPresent
         19   3E 00029650 D3DKMTPinDirectFlipResources
         92   3F 0000C210 D3DKMTPresent
         21   40 00029690 D3DKMTPresentMultiPlaneOverlay
         20   41 00029670 D3DKMTPresentMultiPlaneOverlay2
         22   42 000296B0 D3DKMTQueryAdapterInfo
         93   43 0002ACA0 D3DKMTQueryAllocationResidency
         94   44 0002ACC0 D3DKMTQueryClockCalibration
         95   45 0002ACE0 D3DKMTQueryResourceInfo
         96   46 0002AD00 D3DKMTQueryResourceInfoFromNtHandle
         97   47 0002AD20 D3DKMTQueryVideoMemoryInfo
         23   48 00029740 D3DKMTReclaimAllocations
         98   49 0002AD40 D3DKMTReclaimAllocations2
         99   4A 0002AD60 D3DKMTRegisterTrimNotification
        100   4B 0002AD80 D3DKMTReleaseKeyedMutex
        101   4C 0002ADA0 D3DKMTReleaseKeyedMutex2
        102   4D 0000C1F0 D3DKMTRender
        103   4E 0002ADC0 D3DKMTReserveGpuVirtualAddress
        104   4F 0002ADE0 D3DKMTSetAllocationPriority
         24   50 00029760 D3DKMTSetContextInProcessSchedulingPriority
        105   51 0002AE00 D3DKMTSetContextSchedulingPriority
        106   52 0002AE00 D3DKMTSetDeviceSchedulingPriority
        107   53 0002AE20 D3DKMTSetDisplayMode
         25   54 00029780 D3DKMTSetDisplayPrivateDriverFormat
        108   55 0002AE40 D3DKMTSetGammaRamp
         26   56 000297A0 D3DKMTSetQueuedLimit
         27   57 000297C0 D3DKMTSetStablePowerState
        109   58 0002AFE0 D3DKMTSetVidPnSourceOwner
         28   59 000297E0 D3DKMTSetVidPnSourceOwner1
        110   5A 0002B000 D3DKMTShareObjects
         30   5B 00029820 D3DKMTSignalSynchronizationObject
         29   5C 00029800 D3DKMTSignalSynchronizationObject2
         31   5D 00029840 D3DKMTSignalSynchronizationObjectFromCpu
         33   5E 00029880 D3DKMTSignalSynchronizationObjectFromGpu
         32   5F 00029860 D3DKMTSignalSynchronizationObjectFromGpu2
         34   60 000298A0 D3DKMTSubmitCommand
         36   61 0000C230 D3DKMTUnlock
         35   62 000298C0 D3DKMTUnlock2
         37   63 000298E0 D3DKMTUnpinDirectFlipResources
        111   64 0002B030 D3DKMTUnregisterTrimNotification
        112   65 0002B050 D3DKMTUpdateAllocationProperty
         38   66 00029900 D3DKMTUpdateGpuVirtualAddress
         40   67 00029940 D3DKMTWaitForSynchronizationObject
         39   68 00029920 D3DKMTWaitForSynchronizationObject2
         41   69 00029960 D3DKMTWaitForSynchronizationObjectFromCpu
         42   6A 00029980 D3DKMTWaitForSynchronizationObjectFromGpu
        113   6B 0002B070 D3DKMTWaitForVerticalBlankEvent
         43   6C 000299A0 D3DKMTWaitForVerticalBlankEvent2
         44   6D 00020280 LogMarkerStringTable
         45   6E 000205A0 OpenAdapter10
         46   6F 00020660 OpenAdapter10_2
         47   70 00018C10 RetrieveFilteredOpenAdapter

  Summary

        6000 .data
        1000 .didat
        4000 .pdata
       13000 .rdata
        1000 .reloc
        1000 .rsrc
       42000 .text
